num_osd, size, repetition, throughput_avg, throughput_std
1,4194304,1,28.774 ,19.6254
1,4194304,2,28.308 ,13.8127
1,4194304,3,29.070 ,13.683
1,4194304,4,28.561 ,13.7887
1,4194304,5,29.865 ,20.4261
10,4194304,1,110.843 ,20.0866
10,4194304,2,111.759 ,20.2554
10,4194304,3,108.714 ,21.703
10,4194304,4,107.285 ,24.4143
10,4194304,5,107.356 ,23.0895
11,4194304,1,108.130 ,23.9551
11,4194304,2,110.307 ,19.6013
11,4194304,3,110.802 ,19.0789
11,4194304,4,107.697 ,24.8655
11,4194304,5,109.602 ,21.991
12,4194304,1,109.217 ,19.6024
12,4194304,2,111.149 ,19.0211
12,4194304,3,108.633 ,20.363
12,4194304,4,110.773 ,20.0251
12,4194304,5,108.628 ,22.4036
13,4194304,1,103.802 ,31.5096
13,4194304,2,111.228 ,17.2903
13,4194304,3,109.845 ,22.3926
13,4194304,4,108.905 ,23.9718
13,4194304,5,109.334 ,20.9104
14,4194304,1,109.329 ,19.6774
14,4194304,2,110.100 ,21.9938
14,4194304,3,110.524 ,21.0043
14,4194304,4,111.146 ,17.6769
14,4194304,5,111.602 ,18.0246
15,4194304,1,111.379 ,17.7092
15,4194304,2,111.849 ,17.8665
15,4194304,3,110.600 ,18.0181
15,4194304,4,111.038 ,17.2719
15,4194304,5,110.767 ,17.8817
2,4194304,1,56.632 ,32.2788
2,4194304,2,53.563 ,24.1595
2,4194304,3,53.943 ,24.4029
2,4194304,4,55.459 ,26.3862
2,4194304,5,54.893 ,26.0129
3,4194304,1,77.019 ,33.9831
3,4194304,2,77.391 ,26.8068
3,4194304,3,76.634 ,24.9029
3,4194304,4,77.087 ,31.4423
3,4194304,5,76.446 ,28.3187
4,4194304,1,51.481 ,34.3748
4,4194304,2,50.262 ,32.3264
4,4194304,3,50.665 ,31.8757
4,4194304,4,50.606 ,32.5049
4,4194304,5,50.286 ,28.9552
5,4194304,1,48.907 ,33.0677
5,4194304,2,48.977 ,35.5408
5,4194304,3,53.738 ,30.3469
5,4194304,4,54.917 ,32.5788
5,4194304,5,54.994 ,33.5692
6,4194304,1,60.720 ,36.5484
6,4194304,2,59.809 ,38.2558
6,4194304,3,61.867 ,41.4239
6,4194304,4,67.297 ,39.8937
6,4194304,5,64.106 ,40.9555
7,4194304,1,77.815 ,36.2352
7,4194304,2,75.407 ,38.6541
7,4194304,3,78.144 ,37.5168
7,4194304,4,82.561 ,36.3977
7,4194304,5,80.939 ,38.8395
8,4194304,1,76.359 ,39.5298
8,4194304,2,74.959 ,40.3519
8,4194304,3,76.613 ,37.5646
8,4194304,4,78.644 ,36.1193
8,4194304,5,80.880 ,34.9826
9,4194304,1,110.803 ,20.8117
9,4194304,2,108.441 ,24.5414
9,4194304,3,110.314 ,20.4246
9,4194304,4,110.567 ,20.1344
9,4194304,5,111.071 ,20.3866
