num_osd, size, repetition, throughput_avg, throughput_std
1,4194304,1,13.768 ,6.02527
1,4194304,2,13.633 ,5.74192
1,4194304,3,13.865 ,6.02527
1,4194304,4,13.682 ,5.81245
1,4194304,5,13.815 ,6.22773
10,4194304,1,106.696 ,24.1143
10,4194304,2,108.506 ,22.8579
10,4194304,3,108.326 ,21.9822
10,4194304,4,108.402 ,20.481
10,4194304,5,108.405 ,21.1472
11,4194304,1,109.750 ,19.3454
11,4194304,2,108.733 ,20.546
11,4194304,3,109.587 ,19.4045
11,4194304,4,106.498 ,24.0283
11,4194304,5,108.685 ,19.6863
12,4194304,1,110.645 ,18.6811
12,4194304,2,103.671 ,31.3745
12,4194304,3,109.090 ,22.4743
12,4194304,4,110.868 ,19.6253
12,4194304,5,110.486 ,19.524
13,4194304,1,107.742 ,25.1389
13,4194304,2,110.132 ,18.8822
13,4194304,3,110.671 ,18.7777
13,4194304,4,109.571 ,19.9523
13,4194304,5,110.702 ,17.6769
14,4194304,1,111.251 ,18.5682
14,4194304,2,110.431 ,21.9148
14,4194304,3,111.160 ,17.8834
14,4194304,4,106.686 ,27.0118
14,4194304,5,111.187 ,17.9505
15,4194304,1,110.333 ,18.6359
15,4194304,2,110.184 ,18.976
15,4194304,3,110.479 ,19.8896
15,4194304,4,110.954 ,17.1168
15,4194304,5,109.228 ,20.8336
2,4194304,1,27.148 ,10.3188
2,4194304,2,27.195 ,10.0265
2,4194304,3,26.868 ,12.2355
2,4194304,4,27.330 ,9.71525
2,4194304,5,27.090 ,10.8993
3,4194304,1,39.715 ,10.9984
3,4194304,2,39.578 ,14.4921
3,4194304,3,39.478 ,13.387
3,4194304,4,39.694 ,13.5397
3,4194304,5,40.587 ,12.2957
4,4194304,1,49.980 ,19.1502
4,4194304,2,49.415 ,16.539
4,4194304,3,50.500 ,19.5144
4,4194304,4,50.652 ,19.0632
4,4194304,5,50.200 ,16.7142
5,4194304,1,56.604 ,27.2053
5,4194304,2,55.715 ,25.3369
5,4194304,3,57.424 ,22.3706
5,4194304,4,57.647 ,22.9722
5,4194304,5,57.400 ,22.0884
6,4194304,1,64.631 ,24.1334
6,4194304,2,64.332 ,22.3808
6,4194304,3,67.903 ,24.4197
6,4194304,4,69.200 ,24.451
6,4194304,5,68.094 ,25.1532
7,4194304,1,62.963 ,34.4986
7,4194304,2,78.861 ,25.8403
7,4194304,3,77.400 ,29.5407
7,4194304,4,81.521 ,24.6226
7,4194304,5,64.016 ,39.4103
8,4194304,1,89.301 ,29.2097
8,4194304,2,91.672 ,26.3856
8,4194304,3,92.358 ,30.3525
8,4194304,4,86.210 ,30.5006
8,4194304,5,91.516 ,29.8224
9,4194304,1,97.911 ,26.8642
9,4194304,2,97.506 ,29.2277
9,4194304,3,89.044 ,41.9773
9,4194304,4,99.392 ,26.9218
9,4194304,5,92.861 ,34.7929
