 Maintaining 16 concurrent writes of 4194304 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_c26ec1c5d7b4_8048
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        36        20   79.9778        80  0.928794  0.275243
     2      16        58        42   83.9819        88  0.131512  0.501366
     3      16        82        66   87.9833        96   0.08525  0.537026
     4      16        92        76   75.9868        40  0.088441  0.597013
     5      16        92        76   60.7901         0         -  0.597013
     6      16        95        79   52.6583         6   3.13091  0.685414
     7      16        95        79    45.136         0         -  0.685414
     8      16       104        88   43.9936        18  0.114824  0.960205
     9      16       115        99   43.9936        44   5.44532   1.18844
    10      16       155       139    55.592       160  0.240142    1.1117
    11      16       173       157   57.0828        72   1.35379   1.02617
    12      16       173       157   52.3259         0         -   1.02617
    13      16       176       160    49.224         6   3.03144   1.06386
    14      16       176       160    45.708         0         -   1.06386
    15      16       181       165    43.994        10  0.121549   1.12721
    16      16       184       168   41.9943        12  0.097761   1.10881
    17      16       184       168    39.524         0         -   1.10881
    18      16       190       174   38.6614        12  0.094504   1.19591
    19      16       190       174   36.6266         0         -   1.19591
2014-11-23 11:35:46.764924min lat: 0.083821 max lat: 9.29449 avg lat: 1.31667
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       195       179   35.7952        10   0.08635   1.31667
    21      16       195       179   34.0907         0         -   1.31667
    22      16       200       184   33.4501        10  0.151903   1.46549
    23      16       200       184   31.9958         0         -   1.46549
    24      16       216       200   33.3289        32   6.71566   1.76799
    25      16       219       203   32.4757        12  0.084237   1.74329
    26      16       219       203   31.2267         0         -   1.74329
    27      16       224       208   30.8108        10  0.085703   1.80937
    28      16       224       208   29.7104         0         -   1.80937
    29      16       249       233   32.1338        50  0.120833   1.91376
    30      16       261       245   32.6625        48  0.150855   1.90917
    31      15       291       276   35.6083       124  0.144293   1.77644
    32      16       314       298   37.2452        88  0.141322   1.67883
    33      16       314       298   36.1165         0         -   1.67883
    34      16       342       326    38.348        56  0.169314   1.64519
    35      16       366       350   39.9949        96  0.400761   1.57438
    36      16       375       359   39.8838        36  0.089028   1.55111
    37      16       375       359   38.8058         0         -   1.55111
    38      16       379       363   38.2057         8  0.104795   1.56336
    39      16       379       363    37.226         0         -   1.56336
2014-11-23 11:36:06.767316min lat: 0.083821 max lat: 12.4128 avg lat: 1.56336
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16       379       363   36.2954         0         -   1.56336
    41      16       383       367   35.8004   5.33333  0.089995    1.5992
    42      16       383       367    34.948         0         -    1.5992
    43      16       383       367   34.1353         0         -    1.5992
    44      16       383       367   33.3595         0         -    1.5992
    45      16       388       372   33.0626         5  0.161552   1.65754
    46      16       388       372   32.3438         0         -   1.65754
    47      16       388       372   31.6557         0         -   1.65754
    48      16       388       372   30.9962         0         -   1.65754
    49      16       398       382   31.1798        10  0.083968   1.72299
    50      16       399       383   30.6362         4  0.084178   1.71872
    51      16       402       386   30.2708        12   15.1736   1.82572
    52      16       420       404   31.0731        72  0.083783    1.9412
    53      16       422       406   30.6377         8  0.084469   1.93205
    54      16       427       411   30.4407        20  0.121218   1.98356
    55      16       437       421   30.6144        40   3.86071   2.01965
    56      16       441       425   30.3534        16  0.141124   2.02717
    57      16       441       425   29.8209         0         -   2.02717
    58      16       448       432   29.7894        14   4.33854   2.06637
    59      16       480       464   31.4537       128    0.1837   2.01724
2014-11-23 11:36:26.769686min lat: 0.083496 max lat: 15.8715 avg lat: 2.00741
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16       485       469   31.2628        20   1.74585   2.00741
    61      16       488       472   30.9386        12  0.084078   1.99536
    62      16       488       472   30.4397         0         -   1.99536
    63      16       493       477    30.274        10  0.120944    2.0006
    64      16       493       477   29.8011         0         -    2.0006
    65      16       493       477   29.3427         0         -    2.0006
    66      16       500       484   29.3223   9.33333  0.083882   2.01429
    67      16       500       484   28.8848         0         -   2.01429
    68      16       500       484   28.4601         0         -   2.01429
    69      16       500       484   28.0478         0         -   2.01429
    70      16       505       489   27.9328         5  0.128287   2.05963
    71      16       505       489   27.5395         0         -   2.05963
    72      16       517       501   27.8235        24  0.084037   2.15726
    73      16       530       514   28.1545        52  0.086888   2.16558
    74      16       533       517   27.9362        12   8.68276   2.20902
    75      16       537       521   27.7771        16  0.101565    2.1929
    76      16       547       531   27.9378        40   4.45712   2.24731
    77      16       552       536   27.8347        20  0.105763   2.22739
    78      16       556       540    27.683        16  0.122631   2.23893
    79      16       556       540   27.3327         0         -   2.23893
2014-11-23 11:36:46.788623min lat: 0.0827 max lat: 15.8715 avg lat: 2.23605
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16       565       549    27.441        18  0.084256   2.23605
    81      16       565       549   27.1022         0         -   2.23605
    82      16       569       553   26.9669         8  0.097112   2.25739
    83      16       571       555   26.7384         8   0.11561   2.24967
    84      16       571       555   26.4201         0         -   2.24967
    85      16       575       559   26.2975         8  0.096785   2.27975
    86      16       575       559   25.9918         0         -   2.27975
    87      16       584       568   26.1068        18  0.084237   2.30021
    88      16       584       568   25.8102         0         -   2.30021
    89      16       587       571    25.655         6   12.5829   2.35074
    90      16       587       571     25.37         0         -   2.35074
    91      16       596       580   25.4868        18  0.097533   2.42511
    92      16       609       593   25.7748        52  0.084791   2.44043
    93      16       609       593   25.4977         0         -   2.44043
    94      16       624       608   25.8646        30  0.111962   2.43704
    95      16       643       627   26.3922        76   0.09235   2.40986
    96      16       682       666   27.7418       156  0.476198   2.30115
    97      16       710       694   28.6102       112  0.451406   2.23036
    98      16       723       707   28.8487        52  0.131674   2.19728
    99      16       729       713   28.7997        24  0.083735   2.18329
2014-11-23 11:37:06.791058min lat: 0.0827 max lat: 15.8715 avg lat: 2.18329
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16       729       713   28.5118         0         -   2.18329
   101      16       734       718   28.4275        10  0.148249   2.18275
   102      16       734       718   28.1488         0         -   2.18275
   103      16       743       727    28.225        18  0.083743   2.17967
   104      16       743       727   27.9537         0         -   2.17967
   105      16       747       731   27.8398         8  0.093365   2.19958
   106      16       747       731   27.5772         0         -   2.19958
   107      16       747       731   27.3195         0         -   2.19958
   108      16       758       742   27.4739   14.6667  0.083931   2.20783
   109      16       758       742   27.2219         0         -   2.20783
   110      16       769       753   27.3744        22   9.71638   2.26257
   111      16       773       757   27.2719        16  0.095937   2.25121
   112      16       779       763   27.2427        24  0.091841   2.27293
   113      16       779       763   27.0016         0         -   2.27293
   114      16       784       768   26.9402        10  0.117307   2.29635
   115      16       789       773   26.8798        20   0.08691   2.28207
   116      16       789       773   26.6481         0         -   2.28207
   117      16       795       779   26.6255        12  0.084048   2.30224
   118      16       805       789   26.7387        40  0.103326   2.33794
   119      16       820       804   27.0182        60  0.115432   2.34318
2014-11-23 11:37:26.793445min lat: 0.0827 max lat: 15.8715 avg lat: 2.27059
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16       860       844    28.126       160  0.438057   2.27059
   121      16       883       867   28.6537        92  0.496284   2.22677
   122      16       906       890    29.162        92  0.398902   2.18507
   123      16       911       895   29.0875        20   1.87699   2.18007
   124      16       912       896   28.8853         4  0.144801    2.1778
   125      16       912       896   28.6543         0         -    2.1778
