 Maintaining 16 concurrent writes of 2097152 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_6cd5e455ac71_6378
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        67        51   101.968       102  0.127833  0.256194
     2      16       124       108   107.974       114  0.197517  0.266844
     3      16       179       163   108.645       110  0.222531  0.278858
     4      16       235       219    109.48       112  0.439196  0.278709
     5      16       291       275   109.981       112  0.133286  0.278574
     6      16       344       328   109.315       106  0.402856  0.283261
     7      16       382       366   104.555        76  0.038045  0.287309
     8      16       437       421   105.234       110  0.066952  0.282093
     9      16       503       487   108.206       132  0.201603  0.290271
    10      16       559       543   108.584       112  0.177084  0.289438
    11      16       615       599   108.893       112  0.155886  0.288846
    12      15       665       650   108.318       102  0.420898  0.290208
    13      16       726       710   109.216       120  0.144211  0.290621
    14      16       775       759   108.414        98  0.161814  0.289841
    15      16       826       810   107.986       102  0.248994  0.285848
    16      16       846       830   103.737        40  0.043044  0.280734
    17      16       892       876   103.046        92  0.296793   0.30732
    18      16       949       933   103.654       114  0.356324  0.306296
    19      16      1005       989   104.092       112  0.293722  0.305126
2014-11-24 23:26:34.996391min lat: 0.037955 max lat: 2.99538 avg lat: 0.304468
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1059      1043   104.287       108  0.329669  0.304468
    21      16      1115      1099   104.654       112  0.192665  0.302917
    22      16      1169      1153   104.805       108  0.266162  0.302896
    23      16      1227      1211   105.291       116  0.295605  0.302268
    24      16      1281      1265   105.404       108  0.228034  0.301474
    25      16      1327      1311   104.867        92  0.079148  0.300094
    26      16      1344      1328   102.141        34  0.042455  0.302171
    27      16      1371      1355   100.358        54  0.042784  0.306734
    28      16      1372      1356   96.8453         2  0.042199  0.306539
    29      16      1402      1386   95.5746        60  0.057047  0.321449
    30      16      1424      1408   93.8553        44  0.061899  0.333113
    31      16      1427      1411   91.0212         6  0.056917  0.334375
    32      16      1441      1425   89.0517        28  0.043397  0.334239
    33      16      1489      1473   89.2619        96  0.072947  0.352376
    34      16      1538      1522   89.5185        98  0.082893  0.353793
    35      16      1572      1556   88.9034        68  0.187324  0.358835
    36      16      1632      1616   89.7667       120  0.202073  0.354754
    37      16      1688      1672   90.3672       112  0.153476   0.35218
    38      16      1735      1719   90.4626        94  0.330933  0.350957
    39      15      1799      1784   91.4759       130  0.379983  0.348545
2014-11-24 23:26:54.998811min lat: 0.037955 max lat: 4.11622 avg lat: 0.34662
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      1856      1840   91.9887       112  0.240845   0.34662
    41      16      1905      1889    92.135        98  0.097224  0.345036
    42      16      1918      1902   90.5602        26  0.092207  0.344255
    43      16      1918      1902   88.4542         0         -  0.344255
