 Maintaining 16 concurrent writes of 65536 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_6cd5e455ac71_3220
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1790      1774   110.847   110.875  0.0081030.00897591
     2      16      3543      3527   110.197   109.562  0.0127970.00904734
     3      16      5308      5292   110.231   110.312   0.007950.00905595
     4      16      7077      7061   110.311   110.562  0.0070180.00905116
     5      16      7258      7242   90.5112   11.3125  0.0031650.00904682
     6      16      7276      7260   75.6139     1.125   0.003270.00969198
     7      16      7475      7459    66.589   12.4375  0.003003 0.0149419
     8      16      7475      7459   58.2656         0         - 0.0149419
     9      16      7521      7505   52.1114    1.4375  0.003709 0.0176362
    10      16      7521      7505   46.9004         0         - 0.0176362
    11      16      7521      7505   42.6369         0         - 0.0176362
    12      15      8473      8458   44.0469   19.8542  0.007726 0.0226935
    13      16      9461      9445   45.4033   61.6875  0.002861 0.0219919
    14      16      9741      9725     43.41      17.5  0.007805 0.0230267
    15      16     10455     10439   43.4907    44.625  0.003815 0.0223192
    16      16     10787     10771   42.0692     20.75  0.003209 0.0236031
    17      16     10787     10771   39.5946         0         - 0.0236031
    18      16     10969     10953   38.0268    5.6875  0.002867 0.0257474
    19      15     11109     11094   36.4892    8.8125  0.006021 0.0273967
2014-11-24 22:08:06.924512min lat: 0.00272 max lat: 4.49593 avg lat: 0.0280994
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     11335     11319   35.3678   14.0625  0.003926 0.0280994
    21      16     11492     11476   34.1508    9.8125  0.004281 0.0283378
    22      16     11617     11601   32.9536    7.8125  0.003324 0.0296713
    23      16     11739     11723   31.8523     7.625  0.003032 0.0309279
    24      15     12350     12335   32.1187     38.25   0.01151 0.0311253
    25      16     12567     12551   31.3739      13.5  0.003584 0.0307571
    26      16     12732     12716   30.5638   10.3125  0.003116 0.0322863
    27      16     12732     12716   29.4318         0         - 0.0322863
    28      16     12979     12963    28.932   7.71875  0.002973 0.0345204
    29      16     12979     12963   27.9343         0         - 0.0345204
    30      16     13127     13111   27.3115     4.625   0.00304 0.0360201
    31      16     13229     13213   26.6361     6.375  0.002861 0.0370641
    32      16     14123     14107   27.5497    55.875  0.011218 0.0362787
    33      16     14641     14625   27.6958    32.375  0.002688 0.0360257
    34      16     14688     14672   26.9676    2.9375  0.003111  0.036284
    35      16     14709     14693   26.2346    1.3125  0.003007 0.0371438
    36      16     14751     14735   25.5787     2.625  0.536155 0.0384071
    37      16     14756     14740   24.8959    0.3125  0.002788 0.0385408
    38      16     14817     14801   24.3411    3.8125  0.003114 0.0407159
    39      16     14864     14848   23.7922    2.9375  0.002769 0.0414739
2014-11-24 22:08:26.926597min lat: 0.002656 max lat: 4.49593 avg lat: 0.0421621
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16     14886     14870   23.2318     1.375  0.002871 0.0421621
    41      16     14898     14882   22.6835      0.75  0.003758 0.0425701
    42      16     14957     14941   22.2312    3.6875  0.913618 0.0441764
    43      16     15009     14993   21.7898      3.25  0.002757 0.0452561
    44      16     15070     15054   21.3812    3.8125  0.002806 0.0461606
    45      16     15077     15061   20.9158    0.4375  0.003086 0.0463305
    46      16     15157     15141   20.5698         5  0.003036 0.0481783
    47      16     15190     15174    20.176    2.0625  0.002992 0.0484162
    48      16     15190     15174   19.7557         0         - 0.0484162
    49      16     15190     15174   19.3525         0         - 0.0484162
    50      16     15197     15181   18.9742  0.145833  0.002916  0.048635
    51      16     15197     15181   18.6022         0         -  0.048635
    52      16     15197     15181   18.2445         0         -  0.048635
    53      16     15197     15181   17.9002         0         -  0.048635
    54      16     15197     15181   17.5688         0         -  0.048635
    55      16     15197     15181   17.2493         0         -  0.048635
    56      16     15210     15194   16.9558  0.135417  0.002855 0.0526437
    57      16     15210     15194   16.6584         0         - 0.0526437
    58      16     15210     15194   16.3712         0         - 0.0526437
    59      16     15210     15194   16.0937         0         - 0.0526437
2014-11-24 22:08:46.928348min lat: 0.002656 max lat: 14.133 avg lat: 0.0619747
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16     15506     15490   16.1338     4.625  0.008524 0.0619747
    61      16     17170     17154    17.574       104  0.007612 0.0568956
    62      16     18202     18186   18.3308      64.5  0.003212 0.0541712
    63      16     18202     18186   18.0398         0         - 0.0541712
    64      16     18396     18380   17.9474    6.0625  0.002788  0.055125
    65      16     18792     18776    18.052     24.75  0.003261 0.0551234
    66      16     18795     18779   17.7813    0.1875  0.003117 0.0552116
    67      16     18795     18779   17.5159         0         - 0.0552116
    68      16     18795     18779   17.2583         0         - 0.0552116
    69      16     18795     18779   17.0082         0         - 0.0552116
    70      16     18795     18779   16.7653         0         - 0.0552116
    71      16     18795     18779   16.5291         0         - 0.0552116
    72      16     18795     18779   16.2996         0         - 0.0552116
    73      16     18795     18779   16.0763         0         - 0.0552116
    74      16     18796     18780   15.8599 0.0078125   9.11053 0.0556938
    75      16     18950     18934   15.7767     9.625  0.003144 0.0632292
    76      16     18950     18934   15.5692         0         - 0.0632292
    77      16     18950     18934    15.367         0         - 0.0632292
    78      16     19144     19128   15.3254   4.04167  0.003412  0.065141
    79      16     19641     19625   15.5246   31.0625  0.003084 0.0642157
2014-11-24 22:09:06.930229min lat: 0.002656 max lat: 14.133 avg lat: 0.0645077
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16     19797     19781   15.4524      9.75   0.24618 0.0645077
    81      16     20042     20026   15.4506   15.3125  0.003155 0.0646576
    82      16     20162     20146   15.3536       7.5  0.003285 0.0647072
    83      16     20290     20274    15.265         8  0.803407 0.0649478
    84      16     20434     20418   15.1904         9  0.003326 0.0656768
    85      16     20456     20440   15.0279     1.375  0.003862 0.0659381
    86      16     20456     20440   14.8532         0         - 0.0659381
    87      16     20456     20440   14.6824         0         - 0.0659381
    88      16     20456     20440   14.5156         0         - 0.0659381
    89      16     20662     20646   14.4971   3.21875  0.002934 0.0685295
    90      16     20662     20646   14.3361         0         - 0.0685295
    91      16     20669     20653   14.1833   0.21875   0.00358 0.0686231
