 Maintaining 16 concurrent writes of 524288 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_6cd5e455ac71_14968
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       142       126   62.9769        63  0.158728  0.118693
     2      16       303       287   71.7319      80.5  0.027978   0.10633
     3      16       469       453   75.4842        83  0.029998  0.103691
     4      16       630       614   76.7357      80.5  0.031932  0.101868
     5      16       791       775   77.4865      80.5  0.150959  0.101925
     6      16       914       898   74.8209      61.5  0.022628  0.101744
     7      16       957       941   67.2036      21.5   0.37134  0.113217
     8      16      1055      1039   64.9275        49  0.019832  0.115586
     9      16      1133      1117   62.0463        39  0.045062  0.124905
    10      16      1239      1223    61.141        53  0.027459  0.128264
    11      16      1240      1224   55.6284       0.5  0.218457  0.128337
    12      16      1240      1224   50.9929         0         -  0.128337
    13      16      1354      1338   51.4546      28.5  0.183388  0.154635
    14      16      1444      1428   50.9932        45    0.0237  0.151142
    15      16      1444      1428   47.5937         0         -  0.151142
    16      16      1592      1576   49.2437        37  0.171609  0.161749
    17      16      1742      1726   50.7582        75  0.177277  0.156475
    18      16      1742      1726   47.9383         0         -  0.156475
    19      16      1742      1726   45.4154         0         -  0.156475
2014-11-25 01:26:08.328837min lat: 0.0198 max lat: 2.66905 avg lat: 0.161324
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1748      1732   43.2947         1  0.020987  0.161324
    21      16      1748      1732    41.233         0         -  0.161324
    22      16      1760      1744   39.6316         3   5.03178  0.186297
    23      16      1811      1795    39.017      25.5  0.022334  0.202065
    24      15      1913      1898   39.5369      51.5   0.30613  0.201979
    25      16      1984      1968   39.3553        35  0.219233  0.202105
    26      16      2008      1992   38.3032        12  0.045033  0.201905
    27      16      2094      2078    38.477        43   0.02419  0.204053
    28      16      2097      2081   37.1564       1.5  0.026146  0.204806
    29      16      2097      2081   35.8752         0         -  0.204806
    30      16      2264      2248   37.4624     41.75  0.030265  0.213033
    31      16      2352      2336   37.6732        44  0.127281  0.208798
    32      16      2402      2386   37.2771        25  0.258728   0.21259
    33      16      2410      2394   36.2687         4   1.21861  0.213932
    34      16      2410      2394    35.202         0         -  0.213932
    35      16      2457      2441   34.8676     11.75  0.575445  0.224411
    36      16      2462      2446   33.9685       2.5   1.23719  0.226988
    37      16      2486      2470   33.3747        12  0.030029   0.23482
    38      16      2495      2479   32.6148       4.5  0.025377  0.238429
    39      16      2519      2503   32.0862        12  0.020273  0.243737
2014-11-25 01:26:28.330820min lat: 0.018176 max lat: 5.34434 avg lat: 0.248115
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      2525      2509    31.359         3   1.19804  0.248115
    41      16      2543      2527   30.8136         9   2.52837  0.254684
    42      16      2570      2554   30.4014      13.5  0.018787  0.260892
    43      16      2594      2578   29.9734        12  0.019103  0.264206
    44      16      2609      2593   29.4626       7.5  0.587834   0.26573
    45      16      2615      2599   28.8746         3  0.028265  0.266649
    46      16      2637      2621    28.486        11  0.742346  0.272807
    47      16      2665      2649   28.1777        14  0.020484  0.278395
    48      16      2673      2657    27.674         4  0.021075  0.281432
    49      16      2699      2683   27.3745        13  0.050881  0.289338
    50      16      2705      2689    26.887         3  0.984145    0.2909
    51      16      2729      2713   26.5951        12  0.043022  0.297475
    52      16      2748      2732   26.2663       9.5  0.034851  0.300882
    53      16      2761      2745   25.8933       6.5  0.038301  0.304349
    54      16      2780      2764   25.5897       9.5  0.018292  0.309906
    55      16      2787      2771   25.1881       3.5   1.08115  0.310853
    56      16      2811      2795   24.9526        12  0.022072   0.31894
    57      16      2818      2802   24.5762       3.5   1.05114  0.320151
    58      16      2825      2809   24.2128       3.5   0.68325  0.321786
    59      16      2837      2821   23.9041         6   2.95047   0.33051
2014-11-25 01:26:48.333168min lat: 0.018176 max lat: 5.34434 avg lat: 0.335692
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      2855      2839   23.6557         9    1.2221  0.335692
    61      16      2874      2858   23.4236       9.5  0.022051  0.339171
    62      16      2887      2871   23.1506       6.5  0.039386   0.34072
    63      16      2909      2893   22.9577        11  0.359659  0.345752
    64      16      2920      2904   22.6849       5.5   2.70759  0.346775
    65      16      2921      2905   22.3436       0.5   2.78493  0.347614
    66      16      2950      2934   22.2248      14.5  0.599179  0.355422
    67      16      2959      2943   21.9602       4.5  0.023545  0.356622
    68      16      2962      2946   21.6593       1.5  0.023876  0.357534
    69      16      2965      2949   21.3672       1.5  0.023918  0.358774
    70      16      2970      2954   21.0976       2.5  0.022083  0.360923
    71      16      2973      2957   20.8216       1.5  0.019007  0.362132
    72      16      2973      2957   20.5324         0         -  0.362132
    73      16      2973      2957   20.2512         0         -  0.362132
    74      16      2973      2957   19.9775         0         -  0.362132
    75      16      2973      2957   19.7111         0         -  0.362132
    76      16      2973      2957   19.4518         0         -  0.362132
    77      16      2973      2957   19.1992         0         -  0.362132
    78      16      2973      2957   18.9531         0         -  0.362132
    79      16      2973      2957   18.7131         0         -  0.362132
2014-11-25 01:27:08.335080min lat: 0.018176 max lat: 14.1685 avg lat: 0.366685
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16      2975      2959   18.4917  0.111111   0.03013  0.366685
    81      16      3039      3023   18.6585        32  0.128843  0.428392
    82      16      3189      3173   19.3455        75  0.038909   0.41307
    83      16      3290      3274   19.7207      50.5  0.035618  0.403537
    84      16      3410      3394   20.2002        60   0.22167  0.395478
    85      16      3463      3447   20.2743      26.5  0.127204  0.394355
    86      16      3627      3611   20.9919        82  0.127281   0.38084
    87      16      3680      3664   21.0552      26.5  0.018751  0.376568
    88      16      3680      3664   20.8159         0         -  0.376568
    89      16      3681      3665   20.5876      0.25    2.9015  0.377257
    90      16      3734      3718   20.6533      26.5   0.02482  0.383861
    91      16      3734      3718   20.4263         0         -  0.383861
    92      16      3734      3718   20.2043         0         -  0.383861
    93      15      3787      3772   20.2774         9   0.15655   0.39426
    94      16      3829      3813   20.2797      20.5  0.018846  0.391094
    95      16      3928      3912   20.5872      49.5  0.080824  0.386421
    96      16      3928      3912   20.3728         0         -  0.386421
    97      16      3928      3912   20.1628         0         -  0.386421
    98      16      3928      3912    19.957         0         -  0.386421
    99      16      4085      4069   20.5483    19.625  0.157564  0.389092
2014-11-25 01:27:28.337200min lat: 0.018176 max lat: 16.9612 avg lat: 0.377786
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
