 Maintaining 16 concurrent writes of 16384 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aac91394a5b2_1977
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      15      2782      2767   43.2247   43.2344  0.0049060.00575591
     2      16      3781      3765   29.4087   15.5938  0.0024980.00573718
     3      16      4023      4007   20.8665   3.78125  0.002047 0.0117502
     4      16      4593      4577   17.8763   8.90625  0.002833 0.0139319
     5      16      6975      6959   21.7439   37.2188   0.00436 0.0114895
     6      16      9652      9636   25.0904   41.8281  0.0024510.00995481
     7      16     12309     12293   27.4361   41.5156  0.003491 0.0091066
     8      16     15067     15051   29.3927   43.0938   0.003560.00849882
     9      16     15477     15461   26.8385   6.40625  0.0021890.00842094
    10      16     15477     15461   24.1547         0         -0.00842094
    11      16     15667     15651   22.2288   1.48438  0.004257  0.010616
    12      16     15673     15657   20.3842   0.09375  0.004053 0.0106901
    13      16     16277     16261   19.5421    9.4375  0.002241 0.0125411
    14      16     17372     17356   19.3682   17.1094  0.014471 0.0129018
    15      16     19909     19893   20.7194   39.6406  0.002498 0.0120396
    16      16     21911     21895   21.3793   31.2812  0.002494 0.0116637
    17      16     22302     22286    20.481   6.10938  0.002499 0.0118174
    18      16     22359     22343   19.3926  0.890625  0.002516 0.0121735
    19      16     22394     22378   18.4008  0.546875  0.002193 0.0129247
2014-11-25 06:40:06.094381min lat: 0.001847 max lat: 3.24173 avg lat: 0.0135775
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     22426     22410   17.5057       0.5  0.001997 0.0135775
    21      16     22443     22427   16.6848  0.265625  0.002517 0.0137052
    22      16     22525     22509   15.9846   1.28125  0.002584 0.0152059
    23      15     22554     22539     15.31   0.46875  0.003002 0.0159169
    24      16     22588     22572   14.6936  0.515625   0.00225 0.0159786
    25      16     22604     22588   14.1159      0.25  0.002267 0.0167632
    26      16     22615     22599   13.5796  0.171875  0.002704 0.0170786
    27      16     22680     22664   13.1142   1.01562  0.002735 0.0184624
    28      16     22682     22666    12.647   0.03125  0.002848 0.0185634
    29      16     22755     22739   12.2502   1.14062  0.002873 0.0198731
    30      16     22759     22743    11.844    0.0625  0.002842 0.0199512
    31      16     22794     22778   11.4795  0.546875  0.002004  0.020629
    32      16     22840     22824   11.1433   0.71875  0.003017 0.0212388
    33      16     22901     22885   10.8345  0.953125  0.002002 0.0227265
    34      16     22927     22911   10.5278   0.40625  0.002467 0.0229714
    35      16     22986     22970   10.2533  0.921875  0.002007 0.0235193
    36      16     23006     22990   9.97718    0.3125  0.002493 0.0237472
    37      16     23084     23068   9.74046   1.21875  0.002271  0.025261
    38      16     23087     23071   9.48537  0.046875  0.002884 0.0253108
    39      16     23100     23084   9.24736  0.203125  0.002496 0.0256565
2014-11-25 06:40:26.096455min lat: 0.001847 max lat: 6.00798 avg lat: 0.0267671
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16     23145     23129   9.03376  0.703125  0.002552 0.0267671
    41      16     23230     23214   8.84581   1.32812  0.002522  0.028089
    42      16     23244     23228   8.64041   0.21875  0.002246 0.0281788
    43      16     23335     23319   8.47254   1.42188  0.002498 0.0293195
    44      16     23355     23339   8.28708    0.3125  0.002517 0.0293911
    45      16     23393     23377   8.11612   0.59375  0.004248 0.0300639
    46      16     23437     23421   7.95463    0.6875  0.002254 0.0312614
    47      16     23440     23424   7.78638  0.046875   0.00256 0.0313093
    48      16     23483     23467   7.63816  0.671875  0.002608 0.0320614
    49      16     23557     23541   7.50587   1.15625  0.002243 0.0330495
    50      16     23609     23593   7.37201    0.8125  0.003476  0.033379
    51      16     23621     23605   7.23114    0.1875  0.002274 0.0335296
    52      16     23686     23670    7.1116   1.01562  0.002219  0.034625
    53      16     23717     23701   6.98656  0.484375  0.002312 0.0349131
    54      16     23746     23730   6.86557  0.453125  0.002526 0.0356156
    55      16     23767     23751   6.74671  0.328125   1.16204 0.0361378
    56      16     23797     23781    6.6346   0.46875  0.002213 0.0370303
    57      16     23850     23834   6.53273  0.828125   0.00199 0.0375978
    58      16     23922     23906    6.4395     1.125  0.002355 0.0381458
    59      16     24011     23995   6.35392   1.39062  0.002501 0.0390115
2014-11-25 06:40:46.098488min lat: 0.001847 max lat: 6.00798 avg lat: 0.0390502
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16     24030     24014   6.25297  0.296875  0.002492 0.0390502
    61      16     24054     24038   6.15661     0.375  0.002086 0.0395069
    62      16     24102     24086    6.0694      0.75   2.60185 0.0407825
    63      16     24102     24086   5.97306         0         - 0.0407825
    64      16     24191     24175   5.90146  0.695312  0.002226 0.0420557
    65      16     24246     24230   5.82389  0.859375  0.002251 0.0426719
    66      16     24274     24258   5.74228    0.4375  0.002501  0.043007
    67      16     24327     24311   5.66893  0.828125  0.002238 0.0433527
    68      16     24333     24317   5.58694   0.09375  0.002497 0.0434216
    69      16     24346     24330   5.50892  0.203125  0.002494 0.0440098
    70      16     24412     24396   5.44495   1.03125  0.002065 0.0454984
    71      16     24430     24414   5.37222   0.28125  0.002009 0.0458542
    72      16     24500     24484    5.3128   1.09375  0.002219 0.0468682
    73      16     24547     24531   5.25008  0.734375  0.002745 0.0474112
    74      16     24547     24531   5.17913         0         - 0.0474112
    75      16     24602     24586   5.12154  0.429688  0.464283 0.0484365
    76      16     24629     24613    5.0597  0.421875  0.001974  0.048731
    77      16     24697     24681   5.00779    1.0625   0.00231 0.0496444
    78      16     24736     24720    4.9514  0.609375   0.00224 0.0497346
    79      16     24771     24755   4.89564  0.546875  0.001984 0.0501872
2014-11-25 06:41:06.100513min lat: 0.001847 max lat: 6.00798 avg lat: 0.0514865
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16     24844     24828    4.8487   1.14062  0.002353 0.0514865
    81      16     24844     24828   4.78884         0         - 0.0514865
    82      16     24937     24921   4.74816  0.726562  0.677245 0.0523039
    83      16     24981     24965   4.69924    0.6875  0.002252 0.0528454
    84      16     24983     24967   4.64366   0.03125  0.002026 0.0528992
    85      16     25038     25022   4.59914  0.859375   1.47124 0.0538354
    86      16     25118     25102    4.5602      1.25  0.002491 0.0543859
    87      16     25147     25131   4.51299  0.453125  0.002258 0.0546624
    88      16     25218     25202   4.47431   1.10938  0.002331 0.0558097
    89      16     25262     25246   4.43176    0.6875  0.002256 0.0557794
    90      16     25324     25308   4.39328   0.96875    1.6653 0.0563638
    91      16     25337     25321   4.34724  0.203125  0.002076 0.0565798
    92      16     25394     25378   4.30967  0.890625  0.002265 0.0574106
    93      16     25415     25399   4.26685  0.328125  0.002241 0.0581432
    94      16     25428     25412   4.22362  0.203125  0.002574 0.0584647
    95      16     25451     25435   4.18294  0.359375  0.002223 0.0588781
    96      16     25503     25487   4.14784    0.8125  0.002254  0.059735
    97      16     25508     25492   4.10588  0.078125  0.001994 0.0598143
    98      16     25580     25564   4.07546     1.125  0.002228 0.0609052
    99      16     25609     25593   4.03887  0.453125  0.002254 0.0610498
2014-11-25 06:41:26.102544min lat: 0.001847 max lat: 6.00798 avg lat: 0.0621173
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
