 Maintaining 16 concurrent writes of 4194304 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aac91394a5b2_3065
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        30        14   55.9845        56   0.52434  0.573844
     2      16        45        29   57.9878        60   1.98132  0.718041
     3      16        60        44    58.656        60  0.871136  0.793721
     4      16        80        64   63.9893        80   1.50405  0.850634
     5      16        98        82   65.5896        72   0.33339  0.816914
     6      16       113        97   64.6567        60   1.79626  0.873364
     7      16       132       116   66.2758        76   1.59779   0.87841
     8      16       143       127   63.4906        44  0.482127   0.89004
     9      16       161       145   64.4351        72   0.28925   0.95699
    10      16       180       164   65.5906        76  0.209113  0.917602
    11      16       193       177   64.3545        52   1.61268  0.922505
    12      16       208       192    63.991        60  0.792601  0.946123
    13      16       223       207   63.6835        60  0.652907   0.94002
    14      16       244       228   65.1339        84  0.224571  0.934302
    15      16       258       242   64.5245        56   0.31205   0.91837
    16      16       277       261   65.2409        76  0.363323  0.912327
    17      16       293       277   65.1674        64  0.234668  0.928998
    18      16       308       292   64.8798        60   2.33189  0.934896
    19      16       324       308    64.833        64  0.857429  0.932481
2014-11-25 13:21:04.121803min lat: 0.197097 max lat: 3.30161 avg lat: 0.948622
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       332       316   63.1912        32  0.277871  0.948622
    21      16       341       325   61.8961        36   1.88672   0.97286
    22      16       343       327   59.4463         8  0.662364  0.970666
    23      16       357       341   59.2961        56   2.41661   1.03442
    24      16       382       366   60.9916       100  0.630328   1.03076
    25      16       399       383   61.2716        68  0.325787   1.00427
    26      16       418       402   61.8377        76  0.785506  0.989357
    27      16       433       417   61.7693        60   1.59596   1.00458
    28      16       449       433   61.8488        64  0.437757  0.995548
    29      16       467       451   62.1985        72   0.36016  0.983722
    30      16       484       468   62.3916        68  0.362123  0.990893
    31      16       495       479   61.7982        44   2.01559   1.00229
    32      16       497       481    60.117         8   1.81042   1.00241
    33      16       517       501   60.7192        80  0.579017   1.04412
    34      16       523       507   59.6391        24  0.377404   1.03835
    35      16       524       508   58.0494         4   1.01344    1.0383
    36      16       524       508    56.437         0         -    1.0383
    37      16       524       508   54.9117         0         -    1.0383
    38      16       526       510   53.6772   2.66667  0.166779   1.04356
    39      16       526       510   52.3009         0         -   1.04356
2014-11-25 13:21:24.124211min lat: 0.166779 max lat: 4.59323 avg lat: 1.04356
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16       526       510   50.9934         0         -   1.04356
    41      16       526       510   49.7497         0         -   1.04356
    42      16       529       513   48.8509         3   9.16447   1.08954
    43      16       533       517   48.0869        16  0.169181   1.12006
    44      16       535       519   47.1758         8   10.6965   1.15661
    45      16       535       519   46.1274         0         -   1.15661
    46      16       540       524   45.5594        10   3.09381   1.21513
    47      16       564       548   46.6324        96   0.54991   1.36031
    48      16       582       566   47.1607        72  0.558463   1.33542
    49      16       595       579   47.2593        52   1.93185    1.3282
    50      16       611       595    47.594        64   2.13914   1.31866
    51      16       628       612   47.9939        68  0.324378   1.30185
    52      16       643       627   48.2247        60  0.482477   1.29117
    53      16       658       642   48.4467        60  0.347752   1.28515
    54      16       669       653   48.3643        44     2.676    1.2886
    55      16       692       676   49.1574        92   1.95939   1.28901
    56      16       705       689   49.2081        52  0.203392   1.27885
    57      16       721       705   49.4674        64   2.64592   1.26556
    58      16       737       721   49.7179        64  0.281922   1.24855
    59      16       755       739   50.0954        72   3.53004   1.25764
2014-11-25 13:21:44.126621min lat: 0.166779 max lat: 13.6011 avg lat: 1.25745
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16       770       754   50.2603        60  0.259315   1.25745
    61      16       772       756   49.5675         8   1.32139     1.258
    62      16       781       765   49.3486        36  0.328699   1.26524
    63      16       808       792   50.2793       108  0.940627   1.26365
    64      16       825       809   50.5561        68  0.399916   1.25024
    65      16       836       820   50.4551        44    2.1347   1.24309
    66      16       836       820   49.6907         0         -   1.24309
    67      16       836       820    48.949         0         -   1.24309
    68      16       837       821    48.288   1.33333   3.18026   1.24545
    69      16       837       821   47.5882         0         -   1.24545
    70      16       837       821   46.9084         0         -   1.24545
    71      16       837       821   46.2477         0         -   1.24545
    72      16       837       821   45.6054         0         -   1.24545
    73      16       839       823   45.0903       1.6   8.40917   1.26524
    74      16       840       824    44.535         4  0.198013   1.26395
    75      16       840       824   43.9412         0         -   1.26395
    76      16       840       824   43.3631         0         -   1.26395
    77      16       869       853   44.3062   38.6667  0.385869   1.43639
    78      16       886       870   44.6099        68  0.553336   1.42431
    79      16       905       889   45.0071        76   2.02801   1.41019
2014-11-25 13:22:04.128895min lat: 0.166779 max lat: 13.6011 avg lat: 1.40186
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16       919       903   45.1444        56   0.86198   1.40186
    81      16       934       918   45.3277        60  0.250496     1.394
    82      15       941       926   45.1651        32   1.27325   1.39426
    83      16       957       941   45.3438        60   2.91744   1.40311
    84      16       969       953   45.3753        48   1.27107   1.39921
    85      16       982       966   45.4532        52    0.6897   1.39542
    86      16      1007       991   46.0873       100  0.513844   1.38086
    87      16      1024      1008   46.3391        68  0.393172   1.36786
    88      16      1040      1024   46.5397        64   2.59047   1.35862
    89      16      1056      1040   46.7358        64   2.59317   1.34922
    90      16      1074      1058   47.0164        72  0.305511   1.34691
    91      16      1089      1073    47.159        60   0.23865   1.34431
    92      16      1100      1084   47.1246        44   2.10812   1.34309
    93      16      1109      1093   47.0049        36   1.61708   1.34339
    94      16      1136      1120   47.6536       108  0.330728   1.33623
    95      16      1149      1133   47.6993        52  0.306627   1.32707
    96      16      1150      1134   47.2441         4   0.38536   1.32624
    97      16      1150      1134    46.757         0         -   1.32624
    98      16      1150      1134   46.2799         0         -   1.32624
    99      16      1152      1136   45.8933   2.66667   4.68765   1.33207
2014-11-25 13:22:24.131459min lat: 0.166779 max lat: 13.6011 avg lat: 1.33207
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16      1152      1136   45.4343         0         -   1.33207
   101      16      1152      1136   44.9845         0         -   1.33207
   102      16      1152      1136   44.5435         0         -   1.33207
   103      16      1152      1136    44.111         0         -   1.33207
   104      16      1154      1138   43.7638       1.6   9.87424   1.34727
   105      16      1154      1138    43.347         0         -   1.34727
   106      16      1154      1138   42.9381         0         -   1.34727
   107      16      1154      1138   42.5368         0         -   1.34727
   108      16      1167      1151   42.6244        13   4.59998   1.47411
   109      16      1188      1172   43.0039        84  0.323872   1.47881
   110      16      1204      1188   43.1947        64  0.220336   1.46707
   111      16      1221      1205   43.4181        68     2.468   1.46009
   112      16      1237      1221   43.6018        64  0.319433   1.45195
   113      16      1254      1238   43.8176        68   0.36674   1.44796
   114      16      1268      1252   43.9244        56  0.287564   1.44257
   115      16      1281      1265   43.9946        52  0.350788   1.44161
   116      16      1292      1276   43.9946        44  0.280066   1.43993
   117      16      1308      1292   44.1655        64  0.955719   1.44254
   118      16      1331      1315   44.5707        92  0.491634   1.42919
   119      16      1347      1331   44.7339        64   1.14014   1.42206
2014-11-25 13:22:44.133912min lat: 0.166779 max lat: 14.7663 avg lat: 1.41715
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16      1365      1349   44.9611        72   1.05646   1.41715
   121      16      1380      1364   45.0853        60   1.10179   1.41127
   122      16      1397      1381   45.2731        68  0.458694   1.40278
   123      16      1412      1396   45.3927        60   2.65781   1.39851
   124      16      1416      1400   45.1557        16   1.38361   1.39997
   125      16      1430      1414   45.2424        56   3.06656   1.40522
   126      16      1454      1438   45.6451        96  0.432994   1.39587
   127      16      1460      1444   45.4747        24  0.509334   1.39312
   128      16      1460      1444   45.1194         0         -   1.39312
   129      16      1460      1444   44.7696         0         -   1.39312
   130      16      1461      1445    44.456   1.33333   4.48419   1.39526
   131      16      1461      1445   44.1167         0         -   1.39526
   132      16      1461      1445   43.7825         0         -   1.39526
   133      16      1461      1445   43.4533         0         -   1.39526
   134      16      1461      1445    43.129         0         -   1.39526
   135      16      1464      1448   42.8984       2.4   9.73667   1.41166
   136      16      1467      1451   42.6712        12  0.167964   1.42157
   137      16      1468      1452   42.3889         4   10.4881   1.42781
   138      16      1468      1452   42.0818         0         -   1.42781
   139      16      1468      1452    41.779         0         -   1.42781
2014-11-25 13:23:04.136222min lat: 0.166779 max lat: 14.7663 avg lat: 1.42781
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16      1468      1452   41.4806         0         -   1.42781
   141      16      1492      1476   41.8672        24  0.339684    1.5251
   142      16      1508      1492    42.023        64  0.387195   1.51603
   143      16      1522      1506   42.1207        56   1.86146   1.51133
   144      16      1542      1526   42.3837        80   2.06842   1.50338
   145      16      1560      1544   42.5879        72   1.42402   1.49685
   146      16      1575      1559   42.7071        60   0.23228   1.49073
   147      16      1587      1571    42.743        48   1.88086   1.48807
   148      16      1598      1582   42.7515        44  0.301663    1.4848
   149      16      1605      1589   42.6525        28   2.22646   1.48565
   150      15      1621      1606   42.8214        68   1.17915   1.49177
   151      16      1645      1629    43.147        92  0.463775   1.47735
   152      16      1662      1646   43.3105        68  0.250086   1.47021
   153      16      1680      1664   43.4979        72  0.257439   1.46496
   154      16      1696      1680    43.631        64  0.303587   1.45758
   155      16      1713      1697   43.7882        68  0.950971   1.45321
   156      16      1731      1715   43.9631        72   2.85153   1.44821
   157      16      1739      1723   43.8869        32   2.06669   1.44621
   158      16      1742      1726   43.6851        12   3.16277   1.44739
   159      16      1755      1739   43.7373        52  0.165411   1.44905
2014-11-25 13:23:24.159536min lat: 0.165411 max lat: 15.0949 avg lat: 1.44905
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16      1755      1739    43.464         0         -   1.44905
   161      16      1755      1739   43.1941         0         -   1.44905
   162      16      1755      1739   42.9275         0         -   1.44905
   163      16      1755      1739   42.6642         0         -   1.44905
   164      16      1755      1739    42.404         0         -   1.44905
   165      16      1755      1739   42.1471         0         -   1.44905
   166      16      1758      1742   41.9655   1.71429  0.240314   1.45745
   167      16      1765      1749   41.8819        28   0.20516    1.4621
   168      16      1766      1750   41.6564         4  0.167018   1.46136
   169      16      1766      1750     41.41         0         -   1.46136
   170      16      1766      1750   41.1664         0         -   1.46136
   171      16      1766      1750   40.9257         0         -   1.46136
   172      16      1766      1750   40.6878         0         -   1.46136
   173      16      1787      1771   40.9381      16.8  0.484658    1.5602
   174      16      1804      1788   41.0935        68  0.955709   1.55231
   175      16      1820      1804   41.2244        64  0.635022    1.5463
   176      16      1836      1820   41.3537        64    1.5569   1.54078
   177      16      1851      1835    41.459        60  0.614737   1.53779
   178      16      1867      1851   41.5856        64   0.32784   1.53336
   179      16      1884      1868   41.7331        68  0.358163    1.5254
2014-11-25 13:23:44.161833min lat: 0.160922 max lat: 19.0229 avg lat: 1.51854
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16      1903      1887   41.9234        76  0.554955   1.51854
   181      16      1916      1900    41.979        52  0.457564   1.51381
   182      16      1936      1920   42.1878        80  0.382817   1.50862
   183      16      1948      1932   42.2195        48    2.1722   1.50815
   184      16      1968      1952   42.4248        80  0.752094   1.50204
   185      16      1983      1967   42.5197        60  0.845243   1.49741
   186      16      1988      1972   42.3987        20  0.361679   1.49629
   187      16      2000      1984   42.4286        48   2.76973   1.50015
   188      16      2025      2009   42.7347       100  0.255126   1.49297
   189      16      2035      2019   42.7202        40  0.579797    1.4897
   190      15      2042      2027   42.6638        32   1.84432   1.49133
   191      16      2064      2048   42.8801        84  0.826572   1.48879
   192      16      2078      2062   42.9484        56  0.769408   1.48295
   193      16      2085      2069   42.8709        28  0.273538   1.48037
   194      16      2086      2070   42.6706         4   1.90111   1.48057
   195      16      2088      2072   42.4928         8   3.41405    1.4825
   196      16      2089      2073   42.2964         4  0.272255   1.48191
   197      16      2089      2073   42.0818         0         -   1.48191
   198      16      2089      2073   41.8693         0         -   1.48191
   199      16      2090      2074    41.679   1.33333    8.7262   1.48541
2014-11-25 13:24:04.164306min lat: 0.160922 max lat: 19.0229 avg lat: 1.4877
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16      2092      2076   41.5106         8  0.200037    1.4877
   201      16      2092      2076   41.3041         0         -    1.4877
   202      16      2107      2091   41.3966        30  0.424971   1.53349
   203      16      2131      2115   41.6655        96  0.951193   1.53232
   204      16      2149      2133   41.8141        72   0.24783   1.52574
   205      16      2167      2151   41.9613        72  0.483211   1.51911
   206      16      2179      2163   41.9906        48  0.621964   1.51489
   207      16      2186      2170    41.923        28   4.03978   1.51702
   208      16      2193      2177   41.8561        28   2.39093   1.51751
   209      16      2203      2187   41.8472        40   2.10534    1.5177
   210      16      2212      2196   41.8193        36   5.32572   1.52182
   211      16      2215      2199    41.678        12   1.75507   1.52224
   212      16      2219      2203   41.5569        16   1.99138   1.52464
   213      16      2242      2226   41.7936        92  0.409212   1.52714
   214      16      2263      2247   41.9908        84  0.297386   1.52077
   215      16      2280      2264   42.1117        68  0.854383   1.51455
   216      16      2299      2283   42.2685        76    2.1465   1.50952
   217      16      2317      2301   42.4055        72   2.09931   1.50361
   218      16      2331      2315   42.4678        56  0.387473   1.49815
   219      16      2346      2330   42.5478        60  0.415729   1.49393
2014-11-25 13:24:24.166715min lat: 0.160922 max lat: 19.0229 avg lat: 1.49055
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16      2364      2348   42.6817        72   3.70531   1.49055
   221      16      2378      2362   42.7419        56  0.324792   1.48954
   222      16      2382      2366   42.6214        16   1.30247   1.48997
   223      16      2384      2368   42.4662         8   1.58742   1.48951
   224      16      2384      2368   42.2766         0         -   1.48951
   225      16      2384      2368   42.0887         0         -   1.48951
   226      16      2384      2368   41.9025         0         -   1.48951
   227      16      2384      2368    41.718         0         -   1.48951
   228      16      2384      2368    41.535         0         -   1.48951
   229      16      2384      2368   41.3536         0         -   1.48951
   230      16      2386      2370   41.2086   1.14286    10.712   1.49782
   231      16      2389      2373   41.0822        12  0.184251   1.50428
   232      16      2391      2375   40.9396         8   9.91888   1.51182
