 Maintaining 16 concurrent writes of 4096 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aa3eaa203d62_461
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1891      1875   7.32254   7.32422  0.0054360.00848537
     2      15      3897      3882    7.5807   7.83984  0.0027160.00821109
     3      15      5413      5398   7.02756   5.92188   0.004810.00887282
     4      15      7515      7500   7.32316   8.21094  0.0185340.00852243
     5      16      9591      9575   7.47942   8.10547  0.0026150.00834052
     6      16     11717     11701   7.61681   8.30469  0.0071630.00819747
     7      16     13571     13555   7.56318   7.24219  0.0017580.00825303
     8      16     15419     15403   7.52002   7.21875  0.0034340.00830475
     9      16     16272     16256   7.05465   3.33203  0.0037120.00885403
    10      16     18522     18506     7.228   8.78906   0.014740.00863818
    11      16     20496     20480   7.27182   7.71094  0.0127330.00858863
    12      16     22689     22673   7.37962   8.56641  0.0033730.00846331
    13      16     24346     24330    7.3098   6.47266  0.002975  0.008507
    14      16     26344     26328   7.34509   7.80469  0.0021360.00847063
    15      16     27688     27672   7.20538      5.25    0.00190.00866937
    16      16     29536     29520   7.20616   7.21875  0.0048940.00866814
    17      16     30776     30760   7.06717   4.84375  0.0166920.00872986
    18      15     31988     31973   6.93775   4.73828  0.0031290.00900362
    19      16     33502     33486   6.88362   5.91016  0.0025430.00907215
2014-11-25 13:38:28.840504min lat: 0.001535 max lat: 1.01942 avg lat: 0.00901498
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     35325     35309   6.89546   7.12109  0.0066510.00901498
    21      16     36075     36059   6.70659   2.92969   0.002760.00931479
    22      16     37719     37703   6.69362   6.42188  0.0132250.00933334
    23      16     39306     39290   6.67209   6.19922  0.0198060.00931193
    24      16     39929     39913   6.49548   2.43359  0.002765 0.0096177
    25      16     40868     40852   6.38236   3.66797  0.0020790.00978849
    26      16     42775     42759   6.42336   7.44922   0.015030.00972642
    27      16     44547     44531    6.4418   6.92188  0.0145030.00969857
    28      16     45246     45230   6.30924   2.73047  0.0117180.00990266
    29      16     45976     45960      6.19   2.85156  0.017203 0.0100926
    30      16     48029     48013   6.25095   8.01953  0.0027610.00996356
    31      16     48612     48596   6.12276   2.27734  0.002998 0.0100793
    32      16     48612     48596   5.93142         0         - 0.0100793
    33      16     49783     49767   5.89027   2.28711  0.003935 0.0106078
    34      16     50086     50070   5.75184   1.18359  0.001858 0.0105851
    35      16     50644     50628   5.64977   2.17969  0.001603 0.0110524
    36      16     52826     52810   5.72956   8.52344  0.001972 0.0109041
    37      16     54558     54542   5.75754   6.76562  0.001804 0.0108442
    38      16     56007     55991   5.75496   5.66016  0.002146 0.0108573
    39      16     58146     58130   5.82162   8.35547  0.015014 0.0107327
2014-11-25 13:38:48.842878min lat: 0.001532 max lat: 1.69325 avg lat: 0.0107584
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      15     59494     59479    5.8078   5.26953  0.005797 0.0107584
    41      16     60125     60109   5.72616   2.46094  0.002223 0.0108086
    42      16     60164     60148   5.59345  0.152344  0.007635 0.0108061
    43      16     60782     60766   5.51951   2.41406  0.003342 0.0113204
    44      16     61123     61107   5.42433   1.33203  0.008417 0.0114011
    45      16     61123     61107   5.30379         0         - 0.0114011
    46      16     61123     61107    5.1885         0         - 0.0114011
    47      16     61123     61107   5.07811         0         - 0.0114011
    48      16     61123     61107   4.97231         0         - 0.0114011
    49      16     61123     61107   4.87083         0         - 0.0114011
    50      16     61128     61112   4.773810.00325521   6.85071 0.0119629
    51      16     61161     61145   4.68273  0.128906   0.00849 0.0125793
    52      16     61161     61145   4.59268         0         - 0.0125793
    53      16     61161     61145   4.50602         0         - 0.0125793
    54      16     61161     61145   4.42258         0         - 0.0125793
    55      16     61161     61145   4.34216         0         - 0.0125793
    56      16     61161     61145   4.26463         0         - 0.0125793
    57      16     61161     61145   4.18981         0         - 0.0125793
    58      16     61190     61174   4.11953  0.016183  0.010669 0.0141152
    59      16     61190     61174   4.04971         0         - 0.0141152
2014-11-25 13:39:08.845134min lat: 0.001532 max lat: 13.2475 avg lat: 0.0141152
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16     61190     61174   3.98221         0         - 0.0141152
    61      16     61190     61174   3.91693         0         - 0.0141152
    62      16     61190     61174   3.85376         0         - 0.0141152
    63      16     61190     61174   3.79259         0         - 0.0141152
    64      16     61190     61174   3.73333         0         - 0.0141152
    65      16     61190     61174    3.6759         0         - 0.0141152
    66      16     61190     61174    3.6202         0         - 0.0141152
    67      16     61190     61174   3.56617         0         - 0.0141152
    68      16     61190     61174   3.51373         0         - 0.0141152
    69      16     61190     61174    3.4628         0         - 0.0141152
    70      16     61190     61174   3.41334         0         - 0.0141152
    71      16     61190     61174   3.36526         0         - 0.0141152
    72      16     61190     61174   3.31852         0         - 0.0141152
    73      16     61190     61174   3.27307         0         - 0.0141152
    74      16     61190     61174   3.22884         0         - 0.0141152
    75      16     61190     61174   3.18579         0         - 0.0141152
    76      16     61190     61174   3.14387         0         - 0.0141152
    77      16     61190     61174   3.10304         0         - 0.0141152
    78      16     61190     61174   3.06326         0         - 0.0141152
    79      16     61190     61174   3.02449         0         - 0.0141152
2014-11-25 13:39:28.846973min lat: 0.001532 max lat: 13.2475 avg lat: 0.0141152
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16     61190     61174   2.98668         0         - 0.0141152
    81      16     61190     61174   2.94981         0         - 0.0141152
    82      16     61190     61174   2.91383         0         - 0.0141152
    83      16     61190     61174   2.87873         0         - 0.0141152
    84      16     61190     61174   2.84446         0         - 0.0141152
    85      16     61190     61174   2.81099         0         - 0.0141152
    86      16     61190     61174   2.77831         0         - 0.0141152
    87      16     61190     61174   2.74638         0         - 0.0141152
    88      16     61190     61174   2.71517         0         - 0.0141152
    89      16     61190     61174   2.68466         0         - 0.0141152
    90      16     61190     61174   2.65483         0         - 0.0141152
    91      16     61190     61174   2.62566         0         - 0.0141152
    92      16     61190     61174   2.59712         0         - 0.0141152
    93      16     61190     61174   2.56919         0         - 0.0141152
    94      16     61190     61174   2.54186         0         - 0.0141152
    95      16     61195     61179   2.515310.000527872   44.9834 0.0177914
    96      16     61226     61210   2.49037  0.121094  0.006008 0.0223536
    97      16     61226     61210    2.4647         0         - 0.0223536
    98      16     61226     61210   2.43955         0         - 0.0223536
    99      16     61289     61273   2.41739 0.0820312  0.010206 0.0227011
2014-11-25 13:39:48.848894min lat: 0.001532 max lat: 45.003 avg lat: 0.0227011
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16     61289     61273   2.39322         0         - 0.0227011
   101      16     61289     61273   2.36952         0         - 0.0227011
   102      16     61289     61273   2.34629         0         - 0.0227011
   103      16     61289     61273   2.32351         0         - 0.0227011
   104      16     61289     61273   2.30117         0         - 0.0227011
   105      16     61289     61273   2.27926         0         - 0.0227011
   106      16     61289     61273   2.25776         0         - 0.0227011
   107      16     61289     61273   2.23665         0         - 0.0227011
   108      16     61289     61273   2.21595         0         - 0.0227011
   109      16     61289     61273   2.19562         0         - 0.0227011
   110      16     61289     61273   2.17566         0         - 0.0227011
   111      16     61289     61273   2.15606         0         - 0.0227011
   112      16     61289     61273   2.13681         0         - 0.0227011
   113      16     61289     61273    2.1179         0         - 0.0227011
   114      16     61289     61273   2.09932         0         - 0.0227011
   115      16     61289     61273   2.08106         0         - 0.0227011
   116      16     61289     61273   2.06312         0         - 0.0227011
   117      16     61289     61273   2.04549         0         - 0.0227011
   118      16     61289     61273   2.02816         0         - 0.0227011
   119      16     61289     61273   2.01111         0         - 0.0227011
2014-11-25 13:40:08.850742min lat: 0.001532 max lat: 45.003 avg lat: 0.0227011
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16     61289     61273   1.99435         0         - 0.0227011
   121      16     61289     61273   1.97787         0         - 0.0227011
   122      16     61289     61273   1.96166         0         - 0.0227011
   123      16     61975     61959    1.9675  0.111654  0.003639 0.0317462
   124      16     63696     63680   2.00584   6.72266  0.014609 0.0311554
   125      16     64491     64475   2.01463   3.10547   0.01149 0.0309978
   126      16     64507     64491   1.99914    0.0625  0.002913 0.0310682
   127      16     65401     65385   2.01089   3.49219   0.00369  0.031076
   128      16     66940     66924   2.04214   6.01172  0.002279 0.0306002
   129      16     68366     68350   2.06949   5.57031  0.013155 0.0301632
   130      15     69561     69546    2.0895   4.67188  0.004846 0.0299081
   131      16     70429     70413    2.0994   3.38672  0.022818 0.0297673
   132      16     71225     71209   2.10705   3.10938  0.003952 0.0296218
   133      16     72313     72297   2.12316      4.25  0.007486 0.0293887
   134      16     72313     72297   2.10731         0         - 0.0293887
   135      15     72905     72890   2.10886    1.1582  0.018582 0.0296334
   136      16     74470     74454   2.13827   6.10938  0.012683 0.0292008
   137      16     75090     75074   2.14034   2.42188  0.002853 0.0290855
   138      16     75097     75081   2.12503 0.0273438  0.002419 0.0291194
   139      16     75401     75385   2.11828    1.1875  0.003839 0.0295021
2014-11-25 13:40:28.852957min lat: 0.001532 max lat: 65.5564 avg lat: 0.0292744
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16     76534     76518   2.13476   4.42578  0.002184 0.0292744
   141      15     78235     78220   2.16677   6.64844  0.004576  0.028842
   142      16     79480     79464   2.18573   4.85938  0.002928 0.0285128
   143      16     80754     80738   2.20524   4.97656  0.004307 0.0283331
   144      15     81304     81289   2.20487   2.15234  0.016573 0.0283428
   145      16     82070     82054   2.21027   2.98828  0.001807 0.0281623
   146      16     82070     82054   2.19513         0         - 0.0281623
   147      16     82601     82585    2.1943   1.03711    0.0023 0.0284776
   148      16     83770     83754   2.21033   4.56641  0.001966 0.0282547
   149      16     83781     83765   2.19578 0.0429688  0.016729 0.0282549
   150      16     83951     83935   2.18557  0.664062  0.004462 0.0285936
   151      15     86027     86012   2.22482   8.11328  0.003374 0.0280891
   152      16     87676     87660   2.25253    6.4375  0.002308 0.0277428
   153      16     89427     89411   2.28251   6.83984  0.003853 0.0273797
   154      16     91685     91669   2.32495   8.82031  0.003857  0.026879
   155      15     92670     92655    2.3348   3.85156   0.00274 0.0267658
   156      16     93405     93389   2.33821   2.86719   0.00204 0.0266259
   157      16     93793     93777   2.33297   1.51562  0.011694 0.0266633
   158      16     93793     93777   2.31821         0         - 0.0266633
   159      16     95546     95530   2.34669   3.42383  0.001844 0.0266147
2014-11-25 13:40:48.855537min lat: 0.001532 max lat: 65.5564 avg lat: 0.0264233
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16     96560     96544   2.35677   3.96094  0.002215 0.0264233
