 Maintaining 16 concurrent writes of 2097152 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aa3eaa203d62_1740
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        47        31   61.9818        62  0.107576  0.195689
     2      16        81        65   64.9856        68  0.608022  0.420555
     3      16       129       113   75.3189        96  0.208822  0.379881
     4      16       171       155   77.4862        84   1.56804   0.37763
     5      16       210       194   77.5868        78  0.258551  0.383177
     6      16       250       234   77.9872        80  0.176565  0.387545
     7      16       296       280   79.9872        92  0.124267  0.383612
     8      16       337       321   80.2375        82  0.181054  0.379346
     9      16       381       365   81.0986        88  0.158295  0.376243
    10      16       425       409   81.7874        88  0.133895  0.379467
    11      16       469       453   82.3511        88  0.102253   0.37247
    12      16       509       493   82.1543        80  0.096311  0.374811
    13      16       555       539   82.9107        92  0.796347  0.378735
    14      16       596       580   82.8449        82  0.159277  0.380482
    15      16       637       621   82.7877        82  0.115271  0.376163
    16      16       683       667   83.3628        92  0.073598   0.37852
    17      16       723       707   83.1642        80  0.197398  0.376062
    18      16       765       749   83.2098        84  0.088596  0.376271
    19      15       808       793   83.4613        88  0.107283  0.376762
2014-11-25 18:50:48.209204min lat: 0.068334 max lat: 2.15461 avg lat: 0.379023
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       847       831   83.0876        76   0.30985  0.379023
    21      16       886       870   82.8447        78  0.140334  0.375651
    22      16       929       913   82.9876        86   1.52709  0.380716
    23      16       976       960   83.4659        94  0.080556  0.379308
    24      16      1020      1004   83.6543        88  0.131314   0.37687
    25      16      1058      1042   83.3478        76  0.320768  0.377868
    26      16      1100      1084   83.3724        84  0.204786  0.379817
    27      16      1141      1125   83.3212        82  0.278292  0.375839
    28      16      1175      1159   82.7737        68  0.115644  0.375708
    29      16      1214      1198   82.6088        78  0.470643  0.380937
    30      16      1258      1242   82.7881        88  0.285225  0.380551
    31      16      1301      1285   82.8913        86  0.786215  0.381731
    32      16      1343      1327   82.9256        84  0.128894   0.38095
    33      16      1383      1367   82.8366        80   0.12818  0.381044
    34      16      1416      1400   82.3412        66  0.099946  0.382997
    35      16      1465      1449   82.7882        98  0.095519  0.383845
    36      16      1505      1489   82.7104        80  0.104226  0.382459
    37      16      1542      1526   82.4748        74   0.15127  0.382868
    38      16      1590      1574   82.8304        96  0.641776  0.383472
    39      16      1632      1616   82.8601        84  0.139619  0.381466
2014-11-25 18:51:08.211839min lat: 0.067478 max lat: 2.34043 avg lat: 0.382687
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      1678      1662   83.0883        92   0.42466  0.382687
    41      16      1720      1704   83.1102        84  0.592488  0.382757
    42      16      1757      1741   82.8931        74  0.159136  0.381682
    43      16      1803      1787   83.1046        92  0.106981  0.380737
    44      16      1840      1824   82.8975        74   1.26904  0.382307
    45      16      1880      1864   82.8328        80  0.155448  0.383891
    46      16      1928      1912   83.1188        96  0.897738  0.382432
    47      16      1970      1954   83.1373        84  0.272601  0.380994
    48      16      2014      1998   83.2384        88    1.0451  0.382536
    49      16      2058      2042   83.3353        88  0.090833  0.381258
    50      16      2097      2081   83.2284        78  0.142387   0.38069
    51      16      2139      2123   83.2433        84  0.549007  0.382144
    52      16      2182      2166   83.2961        86  0.126576  0.381037
    53      16      2225      2209   83.3469        86  0.122173  0.380428
    54      16      2265      2249   83.2848        80  0.215273  0.380729
    55      16      2305      2289   83.2248        80  0.210154   0.38166
    56      15      2346      2331   83.2385        84  0.171411  0.381542
    57      16      2383      2367   83.0411        72  0.269299  0.381594
    58      16      2424      2408    83.023        82   1.03836  0.383942
    59      16      2458      2442   82.7682        68  0.114088  0.384892
2014-11-25 18:51:28.214496min lat: 0.067478 max lat: 2.34043 avg lat: 0.384322
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      2502      2486   82.8552        88  0.113897  0.384322
    61      16      2541      2525   82.7754        78  0.740064  0.384526
    62      16      2581      2565   82.7305        80    0.4522  0.384291
    63      16      2628      2612   82.9092        94  0.105659  0.383736
    64      16      2664      2648   82.7386        72  0.536915  0.383948
    65      15      2708      2693   82.8501        90  0.088168  0.384685
    66      16      2750      2734   82.8371        82  0.102489  0.383923
    67      16      2792      2776   82.8543        84  0.691074  0.384171
    68      16      2833      2817   82.8416        82  0.180325  0.383934
    69      16      2874      2858   82.8292        82   1.00063  0.383675
    70      16      2918      2902    82.903        88  0.104096  0.383683
    71      16      2955      2939   82.7774        74    1.1547  0.384252
    72      16      2999      2983   82.8498        88  0.148885  0.383991
    73      16      3040      3024    82.838        82  0.267762  0.384078
    74      16      3079      3063   82.7725        78  0.164745  0.384336
    75      16      3120      3104   82.7621        82   0.32015  0.384652
    76      16      3162      3146   82.7782        84  0.488423  0.385099
    77      16      3206      3190   82.8459        88  0.259517  0.384869
    78      16      3249      3233   82.8862        86  0.084599  0.384173
    79      16      3286      3270   82.7736        74   1.52804  0.384656
2014-11-25 18:51:48.217046min lat: 0.067478 max lat: 2.34043 avg lat: 0.385293
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16      3327      3311   82.7638        82   1.11499  0.385293
    81      16      3369      3353   82.7789        84  0.156679  0.384485
    82      16      3400      3384   82.5254        62  0.136919  0.385013
    83      16      3447      3431   82.6635        94   0.11337  0.385682
    84      16      3488      3472   82.6554        82  0.108088  0.385791
    85      16      3529      3513   82.6476        82   0.13075  0.385284
    86      16      3572      3556   82.6865        86  0.197643  0.384456
    87      16      3609      3593   82.5865        74    1.4734  0.385596
    88      16      3650      3634   82.5797        82  0.113487  0.385252
    89      16      3689      3673   82.5282        78   1.56823  0.385813
    90      16      3729      3713      82.5        80  0.269283  0.386703
    91      16      3769      3753   82.4724        80  0.352601  0.386644
    92      16      3817      3801   82.6088        96  0.094158  0.385584
    93      16      3855      3839   82.5377        76  0.104945  0.386037
    94      16      3894      3878   82.4894        78  0.637944  0.386455
    95      16      3935      3919   82.4841        82  0.337222  0.387172
    96      16      3973      3957   82.4164        76  0.647613  0.386665
    97      16      4021      4005   82.5563        96  0.738814  0.386495
    98      16      4065      4049   82.6118        88  0.496906  0.386106
    99      16      4110      4094   82.6863        90  0.290213  0.385776
2014-11-25 18:52:08.231268min lat: 0.067105 max lat: 2.34043 avg lat: 0.385879
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
