   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        31        15   59.9779        60  0.619391  0.565164
     2      16        58        42   83.9632       108  0.135385  0.581787
     3      16        69        53   70.6429        44   1.58654  0.557444
     4      16        79        63   62.9718        40   2.22791   0.68793
     5      16        89        73    58.377        40  0.976843  0.854742
     6      16       100        84   55.9805        44  0.487496  0.888403
     7      16       113        97    55.411        52  0.105735  0.815524
     8      16       121       105   52.4847        32  0.496782  0.770174
     9      16       139       123   54.6519        72  0.148991  0.970363
    10      16       156       140   55.9856        68   1.14302   1.03732
    11      16       177       161   58.5311        84  0.741185   1.02928
    12      16       194       178   59.3192        68  0.397077  0.965501
    13      16       202       186   57.2176        32  0.110948  0.943706
    14      16       209       193   55.1307        28  0.121578  0.950692
    15      16       217       201   53.5885        32  0.125604  0.937829
    16      16       219       203   50.7394         8   0.09176  0.953821
    17      16       222       206   48.4606        12   6.40171   1.03772
    18      16       223       207   45.9907         4   0.13812   1.03337
    19      16       234       218   45.8857        44  0.133959   1.14173
2014-11-25 22:05:51.704224min lat: 0.086869 max lat: 8.46891 avg lat: 1.15272
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       251       235    46.991        68   0.24051   1.15272
    21      16       274       258   49.1316        92   7.72894   1.21059
    22      16       299       283    51.443       100  0.140514   1.17302
    23      16       324       308   53.5534       100   5.95183   1.16334
    24      16       346       330    54.988        88   1.71627    1.1349
    25      16       363       347   55.5081        68   1.28309   1.12644
    26      16       385       369   56.7572        88  0.268404    1.1085
    27      16       413       397   58.8025       112  0.601282   1.07591
    28      16       431       415   59.2735        72    1.1369   1.05097
    29      16       450       434   59.8498        76  0.166187   1.04824
    30      16       471       455   60.6544        84   1.25181   1.03423
    31      16       493       477    61.536        88  0.227019   1.01906
    32      16       518       502   62.7375       100  0.232358   1.00261
    33      16       543       527   63.8662       100  0.736874  0.984487
    34      16       564       548    64.458        84  0.484881  0.976133
    35      16       589       573    65.473       100  0.910286  0.963769
    36      16       615       599   66.5428       104  0.722758   0.94904
    37      16       641       625   67.5547       104   1.45378  0.935968
    38      16       660       644   67.7766        76  0.551846  0.927347
    39      16       688       672     68.91       112   1.31393  0.914073
2014-11-25 22:06:11.707905min lat: 0.086869 max lat: 8.46891 avg lat: 0.910788
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16       708       692    69.187        80  0.820084  0.910788
    41      16       732       716   69.8406        96  0.142681  0.902706
    42      16       754       738   70.2726        88   0.22912   0.89766
    43      16       780       764   71.0566       104  0.271785  0.885194
    44      16       800       784   71.2596        80  0.293409  0.877678
    45      16       827       811   72.0757       108  0.836461  0.876175
    46      16       852       836   72.6824       100  0.997173  0.871305
    47      16       879       863   73.4335       108  0.266451  0.862984
    48      16       904       888   73.9866       100   1.52836  0.854004
    49      16       925       909   74.1907        84  0.667306  0.846678
    50      16       944       928   74.2267        76  0.492308  0.845013
    51      16       964       948   74.3397        80   1.99574  0.850075
    52      16       993       977   75.1405       116   1.20175  0.844979
    53      16      1021      1005   75.8356       112  0.827913  0.837784
    54      16      1047      1031   76.3569       104  0.332391  0.829713
    55      16      1067      1051   76.4229        80  0.133115   0.82327
    56      16      1087      1071   76.4866        80   0.19732  0.820332
    57      16      1102      1086   76.1972        60  0.347233  0.815366
    58      16      1123      1107   76.3315        84  0.275837  0.818565
    59      16      1146      1130   76.5968        92  0.333217  0.810807
2014-11-25 22:06:31.710764min lat: 0.050984 max lat: 8.46891 avg lat: 0.825686
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      1169      1153   76.8534        92  0.327057  0.825686
    61      16      1195      1179   77.2981       104  0.302571  0.820728
    62      16      1220      1204    77.664       100   1.55641  0.814283
    63      16      1244      1228   77.9548        96  0.584075  0.810475
    64      16      1267      1251   78.1741        92   1.15411  0.813701
    65      16      1287      1271    78.202        80  0.613492  0.808262
    66      16      1312      1296    78.532       100  0.210501  0.803948
    67      16      1335      1319   78.7328        92  0.176453  0.800834
    68      16      1361      1345   79.1042       104   1.48431  0.796071
    69      16      1379      1363   79.0011        72  0.067828   0.80006
    70      16      1398      1382    78.958        76   1.31914  0.803515
    71      16      1418      1402   78.9726        80  0.725628  0.800115
    72      16      1441      1425   79.1533        92  0.144312  0.800066
    73      16      1465      1449   79.3839        96  0.102574  0.794077
    74      16      1490      1474   79.6623       100  0.107024  0.793067
    75      16      1514      1498     79.88        96  0.166068  0.793182
    76      16      1530      1514   79.6709        64  0.088671    0.7872
    77      16      1554      1538   79.8828        96  0.180617  0.789059
    78      16      1577      1561   80.0379        92  0.121179  0.785727
    79      16      1592      1576   79.7842        60   4.40667  0.789401
