 Maintaining 16 concurrent writes of 1048576 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_39411e8678a7_7859
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       122       106   105.971       106  0.068485  0.131546
     2      16       234       218   108.977       112  0.224907   0.14071
     3      16       345       329   109.646       111  0.091889  0.141886
     4      16       456       440   109.981       111  0.208505   0.14217
     5      16       555       539   107.782        99   0.06097  0.141925
     6      16       648       632   105.317        93  0.076042  0.150224
     7      16       747       731   104.413        99  0.021357  0.144607
     8      16       856       840   104.984       109   0.16055   0.15104
     9      16       967       951   105.651       111  0.133929  0.150214
    10      16      1067      1051   105.085       100  0.316251  0.149427
    11      16      1140      1124   102.167        73  0.053666  0.148854
    12      16      1230      1214   101.152        90  0.050705   0.15482
    13      16      1314      1298   99.8322        84  0.093121  0.158546
    14      16      1426      1410     100.7       112   0.12132  0.157824
    15      15      1539      1524   101.586       114  0.095679  0.156725
    16      16      1639      1623   101.424        99  0.070512  0.155417
    17      15      1747      1732   101.868       109  0.101127  0.156547
    18      16      1806      1790   99.4309        58  0.037529  0.155175
    19      16      1912      1896    99.776       106  0.713155  0.157915
2014-11-26 00:05:24.807803min lat: 0.020069 max lat: 1.4381 avg lat: 0.156562
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      2020      2004   100.186       108  0.056008  0.156562
    21      16      2142      2126   101.224       122  0.170201  0.157431
    22      16      2254      2238   101.714       112  0.125467  0.156689
    23      16      2343      2327    101.16        89  0.799734  0.155421
    24      16      2461      2445   101.861       118  0.145024  0.156567
    25      16      2564      2548   101.906       103  0.087622    0.1562
    26      16      2670      2654   102.063       106  0.119298  0.155662
    27      16      2780      2764   102.357       110  0.137977  0.155891
    28      16      2891      2875   102.665       111   0.11731  0.155455
    29      16      2997      2981   102.779       106  0.072914  0.154968
    30      16      3031      3015   100.487        34  0.032916  0.154828
    31      16      3139      3123   100.728       108  0.056891  0.157923
    32      16      3203      3187   99.5805        64  0.051416  0.157158
    33      16      3325      3309   100.259       122  0.184974  0.158984
    34      16      3437      3421   100.604       112  0.180514  0.158626
    35      16      3550      3534   100.958       113  0.141222   0.15811
    36      16      3658      3642   101.153       108  0.106433  0.157445
    37      16      3721      3705   100.122        63  0.102833  0.159308
    38      16      3823      3807   100.171       102  0.028165  0.158523
    39      16      3938      3922   100.551       115  0.169756   0.15844
2014-11-26 00:05:44.810380min lat: 0.020069 max lat: 1.73085 avg lat: 0.157696
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      3990      3974   99.3369        52  0.022954  0.157696
    41      16      4108      4092   99.7917       118  0.122858  0.160002
    42      16      4221      4205   100.106       113   0.11088  0.159531
    43      16      4327      4311   100.243       106  0.098976  0.159166
    44      16      4408      4392    99.805        81  0.023099  0.158504
    45      16      4489      4473   99.3869        81  0.298855  0.160249
    46      16      4554      4538   98.6392        65  0.052889  0.160014
    47      16      4664      4648   98.8806       110  0.258791   0.16154
    48      16      4774      4758   99.1119       110  0.174192  0.161157
    49      16      4885      4869   99.3542       111  0.178366  0.160782
    50      16      4982      4966   99.3069        97  0.046161   0.15973
    51      16      5049      5033   98.6733        67  0.036961  0.161237
    52      16      5156      5140   98.8331       107  0.120306  0.161683
    53      16      5250      5234   98.7417        94  0.046275  0.161667
    54      16      5365      5349   99.0425       115  0.099649  0.161294
    55      16      5475      5459   99.2415       110  0.126212     0.161
    56      16      5583      5567   99.3977       108  0.157328  0.160659
    57      16      5670      5654     99.18        87  0.027801   0.15985
    58      16      5775      5759   99.2801       105  0.064249  0.160621
    59      16      5859      5843   99.0209        84  0.080049  0.161147
2014-11-26 00:06:04.812979min lat: 0.020069 max lat: 1.73085 avg lat: 0.160693
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      5935      5919   98.6371        76  0.732106  0.160693
    61      16      6047      6031   98.8558       112  0.099929  0.161602
    62      16      6160      6144   99.0837       113  0.087078  0.161265
    63      16      6267      6251   99.2091       107  0.111306  0.160944
    64      16      6324      6308   98.5495        57  0.096328  0.161485
    65      16      6429      6413   98.6485       105  0.022511  0.161608
    66      16      6494      6478   98.1385        65  0.131771  0.162903
    67      16      6597      6581   98.2109       103  0.053865  0.162203
    68      16      6709      6693   98.4135       112  0.106067  0.162367
    69      16      6823      6807   98.6392       114  0.127261  0.162044
    70      16      6923      6907   98.6584       100  0.094314  0.161657
    71      16      6997      6981    98.311        74  0.153718  0.162547
    72      16      7091      7075   98.2509        94  0.040268  0.161956
    73      16      7177      7161   98.0829        86  0.470285    0.1626
    74      16      7260      7244    97.879        83  0.033866  0.162286
    75      16      7351      7335   97.7871        91  0.306853  0.163403
    76      16      7464      7448   97.9871       113  0.124991  0.163115
    77      16      7526      7510   97.5196        62   1.06277  0.163574
    78      16      7638      7622   97.7051       112  0.088708  0.163507
    79      16      7741      7725    97.772       103  0.080311  0.163219
2014-11-26 00:06:24.815617min lat: 0.020069 max lat: 1.73085 avg lat: 0.163591
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16      7832      7816   97.6872        91  0.106267  0.163591
    81      16      7943      7927   97.8513       111  0.139071  0.163304
    82      16      8056      8040   98.0359       113  0.136144  0.163031
    83      16      8156      8140   98.0594       100  0.028762  0.162241
    84      16      8266      8250   98.2014       110  0.166189  0.162772
    85      16      8367      8351   98.2342       101  0.051288  0.162089
    86      16      8445      8429   97.9988        78  0.070004  0.162757
    87      16      8548      8532   98.0561       103  0.406207  0.162999
    88      15      8651      8636   98.1235       104  0.086731  0.162679
    89      16      8730      8714   97.8973        78  0.158538  0.163192
    90      16      8783      8767   97.3983        53  0.051024  0.163638
    91      16      8901      8885   97.6246       118  0.132293  0.163723
    92      16      8991      8975   97.5415        90  0.022073  0.163205
    93      16      9076      9060   97.4066        85  0.039143  0.163715
    94      16      9196      9180   97.6468       120  0.067834  0.163514
    95      15      9295      9280   97.6714       100  0.049519  0.163321
    96      16      9393      9377   97.6643        97  0.081907  0.163394
    97      16      9486      9470   97.6161        93  0.090578  0.163834
    98      16      9588      9572   97.6607       102  0.060713  0.163304
    99      16      9642      9626   97.2196        54  0.036325  0.164183
2014-11-26 00:06:44.818209min lat: 0.020069 max lat: 1.73085 avg lat: 0.164363
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16      9746      9730   97.2873       104  0.085117  0.164363
   101      16      9858      9842   97.4328       112  0.145933   0.16406
   102      16      9968      9952   97.5558       110  0.110936  0.163876
   103      16     10067     10051   97.5697        99  0.109599  0.163712
