 Maintaining 16 concurrent writes of 4096 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_39411e8678a7_461
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1793      1777   6.93972   6.94141  0.0042860.00893396
     2      15      3380      3365   6.57106   6.20312  0.0044540.00937702
     3      16      5096      5080   6.61353   6.69922  0.0026460.00943032
     4      16      6981      6965   6.80076   7.36328  0.0032770.00917342
     5      16      9031      9015   7.04198   8.00781  0.0176090.00886027
     6      16     10384     10368   6.74908   5.28516  0.0023640.00924977
     7      16     12189     12173   6.79207   7.05078  0.0026910.00919186
     8      16     13342     13326   6.50599   4.50391  0.0024470.00944132
     9      16     15109     15093   6.54994   6.90234  0.0058550.00953436
    10      16     17112     17096   6.67728   7.82422  0.0059190.00935112
    11      16     18923     18907    6.7133   7.07422  0.0135420.00925622
    12      16     20521     20505   6.67398   6.24219  0.0020650.00935652
    13      16     22280     22264   6.68908   6.87109  0.0044290.00933536
    14      16     23478     23462   6.54552   4.67969  0.0054930.00954322
    15      16     25038     25022   6.51536   6.09375  0.0052910.00956534
    16      16     26631     26615   6.49702   6.22266  0.0073740.00961329
    17      16     28111     28095   6.45488   5.78125  0.0045250.00967899
    18      16     29915     29899   6.48772   7.04688   0.002330.00962575
    19      16     31551     31535   6.48257   6.39062  0.003227 0.0096357
2014-11-25 22:10:48.664463min lat: 0.001663 max lat: 0.329507 avg lat: 0.00954394
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     33137     33121   6.46818   6.19531  0.0020720.00954394
    21      16     34381     34365   6.39154   4.85938  0.0035620.00977316
    22      16     35690     35674   6.33341   5.11328   0.005010.00986301
    23      16     37341     37325   6.33842   6.44922    0.0045 0.0098529
    24      16     38716     38700   6.29808   5.37109  0.0122790.00991964
    25      15     40202     40187   6.27848   5.80859  0.0025330.00995018
    26      16     42126     42110   6.32588   7.51172  0.0025810.00987555
    27      16     43762     43746   6.32825   6.39062  0.0018950.00980583
    28      15     44542     44527   6.21118   3.05078  0.002409 0.0100588
    29      16     45643     45627   6.14516   4.29688  0.005125 0.0101672
    30      16     46854     46838   6.09799   4.73047  0.005295 0.0102449
    31      16     48392     48376   6.09506   6.00781  0.004801 0.0102155
    32      16     49949     49933   6.09463   6.08203     0.009 0.0102512
    33      16     51992     51976   6.15175   7.98047  0.012398 0.0101532
    34      16     52710     52694    6.0533   2.80469   0.05139 0.0102734
    35      16     53802     53786   6.00221   4.26562  0.127309 0.0103891
    36      16     55100     55084    5.9763   5.07031  0.016914 0.0104093
    37      16     56207     56191   5.93164   4.32422  0.002019  0.010494
    38      16     57090     57074    5.8663   3.44922  0.008311 0.0106507
    39      16     58943     58927   5.90146   7.23828  0.002785 0.0105876
2014-11-25 22:11:08.666693min lat: 0.001622 max lat: 0.734116 avg lat: 0.0104946
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16     60988     60972   5.95361   7.98828   0.00499 0.0104946
