   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       990       974   7.60552   7.60938  0.0019450.00944281
     2      16      2954      2938   11.4729   15.3438  0.003064 0.0108593
     3      16      5060      5044   13.1321   16.4531  0.0014210.00943385
     4      16      6596      6580   12.8488        12  0.0022090.00907861
     5      15      8371      8356   13.0537    13.875  0.0019560.00955382
     6      16     11113     11097   14.4466   21.4141  0.0012950.00858696
     7      16     11665     11649   12.9989    4.3125  0.0018720.00958041
     8      16     14044     14028    13.697   18.5859  0.0015730.00903497
     9      15     15823     15808     13.72   13.9062  0.0669220.00907185
    10      16     16284     16268   12.7074   3.59375  0.0023040.00971778
    11      15     18663     18648   13.2423   18.5938  0.0036960.00942002
    12      16     20272     20256   13.1856   12.5625  0.0030710.00933476
    13      16     21743     21727   13.0552   11.4922  0.0012950.00943966
    14      16     22136     22120    12.342   3.07031  0.0012850.00964468
    15      16     23713     23697   12.3405   12.3203  0.001785 0.0100373
    16      15     25152     25137   12.2722     11.25  0.002655 0.0101593
    17      16     25864     25848   11.8771   5.55469  0.007391 0.0103988
    18      16     26666     26650   11.5653   6.26562  0.001452 0.0107884
    19      16     28320     28304   11.6366   12.9219  0.001158 0.0107118
2014-11-26 01:35:34.209528min lat: 0.000977 max lat: 1.30422 avg lat: 0.0106465
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     30035     30019   11.7246   13.3984  0.004137 0.0106465
    21      16     31305     31289   11.6387   9.92188  0.001407 0.0104981
    22      16     33180     33164   11.7754   14.6484  0.003685 0.0106063
    23      16     35929     35913   12.1971   21.4766  0.001621  0.010241
    24      16     38941     38925   12.6693   23.5312  0.0013970.00980378
    25      16     39829     39813     12.44    6.9375  0.0016720.00991952
    26      16     41552     41536   12.4792   13.4609  0.1365820.00999569
    27      16     44410     44394   12.8439   22.3281  0.0014940.00972343
    28      16     47028     47012   13.1155   20.4531  0.0046340.00951837
    29      16     49787     49771   13.4064   21.5547  0.0043660.00931661
    30      16     51266     51250   13.3447   11.5547  0.0406530.00936155
    31      16     54822     54806   13.8103   27.7812  0.0012890.00904735
    32      16     58845     58829   14.3608   31.4297  0.0014340.00870069
    33      16     60498     60482   14.3169   12.9141  0.0017010.00856853
    34      16     61844     61828    14.205   10.5156  0.0012090.00876075
    35      16     64240     64224   14.3339   18.7188  0.0012140.00871314
    36      15     68868     68853   14.9402   36.1641   0.006870.00836469
    37      15     73373     73358   15.4875   35.1953  0.0023770.00806719
    38      16     77973     77957   16.0254   35.9297  0.002694 0.0077981
    39      16     82303     82287   16.4817   33.8281  0.0018440.00758165
2014-11-26 01:35:54.211858min lat: 0.000977 max lat: 1.30422 avg lat: 0.00733959
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16     87201     87185   17.0262   38.2656  0.0043430.00733959
    41      15     89997     89982   17.1438   21.8516  0.0047630.00728923
    42      16     94934     94918   17.6537   38.5625  0.0023140.00707868
    43      16     99987     99971   18.1611   39.4766  0.0016890.00687985
    44      16    104237    104221   18.5028   33.2031  0.0016610.00673466
    45      16    108292    108276   18.7956   31.6797  0.0017690.00664847
    46      16    113528    113512   19.2761   40.9062  0.0011060.00648267
    47      16    117904    117888   19.5933   34.1875  0.0015630.00637751
    48      16    122070    122054   19.8631   32.5469  0.0012830.00629109
    49      15    128433    128418   20.4723   49.7188  0.0013650.00610401
    50      16    134900    134884    21.073   50.5156  0.001627 0.0059299
    51      16    140279    140263   21.4837   42.0234  0.0046830.00581651
 Total time run:        51.521694
Total reads made:     143667
Read size:            8192
Bandwidth (MB/sec):    21.785 

Average Latency:       0.00573618
Max latency:           1.30422
Min latency:           0.000977
