client,rep,num_osd,num_replica,avg_throughput,avg_latency,stdev_throughput,stdev_latency
1,0,5,1,    38.024 ,       1.67579,      31.6146,        2.53691
0,0,5,1,    37.677 ,       1.69102,      29.9935,        2.5454
2,0,5,1,    38.728 ,       1.65249,      32.4366,        2.54551
1,0,4,1,    30.279 ,       2.10714,      26.5094,        2.74567
0,0,4,1,    30.986 ,       2.06313,      26.949,        2.72044
2,0,4,1,    29.923 ,       2.13758,      26.0612,        2.76299
1,0,3,1,    25.550 ,       2.49879,      21.8328,        2.95577
0,0,3,1,    25.892 ,       2.4694,      21.9302,        2.94127
2,0,3,1,    25.713 ,       2.48575,      22.5086,        2.94099
1,0,2,1,    21.961 ,       2.91054,      18.8912,        3.0485
0,0,2,1,    22.518 ,       2.83929,      19.7519,        3.00917
2,0,2,1,    21.604 ,       2.95989,      18.4468,        3.02955
1,0,1,1,    12.573 ,       5.06285,      11.8757,        2.85368
0,0,1,1,    12.805 ,       4.97306,      12.0563,        2.89697
2,0,1,1,    12.665 ,       5.02432,      11.9845,        2.86036
