client,rep,num_osd,num_replica,avg_throughput,avg_latency,stdev_throughput,stdev_latency
1,0,6,1,    17.567 ,       3.63987,      13.6405,        3.63149
0,0,6,1,    16.425 ,       3.87737,      13.5612,        3.71704
2,0,6,1,    16.781 ,       3.80301,      13.8168,        3.79882
1,0,5,1,    19.834 ,       3.22249,      13.2992,        3.90221
0,0,5,1,    18.187 ,       3.50437,      12.9904,        4.01544
2,0,5,1,    19.745 ,       3.23117,      13.4324,        3.80874
1,0,4,1,    11.656 ,       5.49068,      12.714,        6.54321
0,0,4,1,    12.140 ,       5.26959,      12.8197,        6.40052
2,0,4,1,    12.489 ,       5.10925,      12.9228,        6.27896
1,0,3,1,    9.225 ,       6.90979,      10.7644,        9.10815
0,0,3,1,    9.919 ,       6.44844,      10.9579,        8.85921
2,0,3,1,    9.666 ,       6.60165,      10.4538,        9.03282
1,0,2,1,    11.592 ,       5.51475,      10.6301,        3.5629
0,0,2,1,    11.377 ,       5.60123,      10.8317,        3.36163
2,0,2,1,    11.598 ,       5.51003,      9.87876,        3.29832
1,0,1,1,    6.155 ,       10.3647,      7.50619,        3.64069
0,0,1,1,    6.262 ,       10.1886,      9.46438,        3.80708
2,0,1,1,    6.264 ,       10.2006,      6.69916,        3.59158
